"","Sample.name","Replicate","B6","Tissue","Cell","Marker","samfileID"
"B61.m.24p","B61-m-24p",1,"B6","m","24p","B6-m-24p",1
"B62.m.24p","B62-m-24p",2,"B6","m","24p","B6-m-24p",13
"B63.m.24p","B63-m-24p",3,"B6","m","24p","B6-m-24p",25
"B61.m.24n","B61-m-24n",1,"B6","m","24n","B6-m-24n",2
"B62.m.24n","B62-m-24n",2,"B6","m","24n","B6-m-24n",14
"B63.m.24n","B63-m-24n",3,"B6","m","24n","B6-m-24n",26
"B61.s.103p","B61-s-103p",1,"B6","s","103p","B6-s-103p",3
"B62.s.103p","B62-s-103p",2,"B6","s","103p","B6-s-103p",15
"B63.s.103p","B63-s-103p",3,"B6","s","103p","B6-s-103p",27
"B61.s.103n","B61-s-103n",1,"B6","s","103n","B6-s-103n",4
"B62.s.103n","B62-s-103n",2,"B6","s","103n","B6-s-103n",16
"B63.s.103n","B63-s-103n",3,"B6","s","103n","B6-s-103n",28
"B61.e.11bp","B61-e-11bp",1,"B6","e","11bp","B6-e-11bp",5
"B62.e.11bp","B62-e-11bp",2,"B6","e","11bp","B6-e-11bp",17
"B63.e.11bp","B63-e-11bp",3,"B6","e","11bp","B6-e-11bp",29
"B61.e.TN","B61-e-TN",1,"B6","e","TN","B6-e-TN",6
"B62.e.TN","B62-e-TN",2,"B6","e","TN","B6-e-TN",18
"B63.e.TN","B63-e-TN",3,"B6","e","TN","B6-e-TN",30
"KO1.m.24p","KO1-m-24p",1,"KO","m","24p","KO-m-24p",7
"KO2.m.24p","KO2-m-24p",2,"KO","m","24p","KO-m-24p",19
"KO3.m.24p","KO3-m-24p",3,"KO","m","24p","KO-m-24p",31
"KO1.m.24n","KO1-m-24n",1,"KO","m","24n","KO-m-24n",8
"KO2.m.24n","KO2-m-24n",2,"KO","m","24n","KO-m-24n",20
"KO3.m.24n","KO3-m-24n",3,"KO","m","24n","KO-m-24n",32
"KO1.s.103p","KO1-s-103p",1,"KO","s","103p","KO-s-103p",9
"KO2.s.103p","KO2-s-103p",2,"KO","s","103p","KO-s-103p",21
"KO3.s.103p","KO3-s-103p",3,"KO","s","103p","KO-s-103p",33
"KO1.s.103n","KO1-s-103n",1,"KO","s","103n","KO-s-103n",10
"KO2.s.103n","KO2-s-103n",2,"KO","s","103n","KO-s-103n",22
"KO3.s.103n","KO3-s-103n",3,"KO","s","103n","KO-s-103n",34
"KO1.e.11bp","KO1-e-11bp",1,"KO","e","11bp","KO-e-11bp",11
"KO2.e.11bp","KO2-e-11bp",2,"KO","e","11bp","KO-e-11bp",23
"KO3.e.11bp","KO3-e-11bp",3,"KO","e","11bp","KO-e-11bp",35
"KO1.e.TN","KO1-e-TN",1,"KO","e","TN","KO-e-TN",12
"KO2.e.TN","KO2-e-TN",2,"KO","e","TN","KO-e-TN",24
"KO3.e.TN","KO3-e-TN",3,"KO","e","TN","KO-e-TN",36
